cmd
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          4 K
System                           4 Services                   0     82,916 K
smss.exe                       296 Services                   0        436 K
csrss.exe                      528 Services                   0      3,528 K
wininit.exe                    600 Services                   0      2,492 K
services.exe                   672 Services                   0      4,652 K
lsass.exe                      688 Services                   0      9,132 K
svchost.exe                    832 Services                   0     11,872 K
svchost.exe                    896 Services                   0      7,920 K
svchost.exe                    984 Services                   0     22,948 K
svchost.exe                   1000 Services                   0     31,268 K
ibmpmsvc.exe                  1052 Services                   0      1,624 K
svchost.exe                   1064 Services                   0     48,216 K
LPlatSvc.exe                  1072 Services                   0      3,144 K
svchost.exe                   1216 Services                   0     10,016 K
svchost.exe                   1228 Services                   0     22,368 K
dasHost.exe                   1436 Services                   0     14,448 K
igfxCUIService.exe            1460 Services                   0      3,944 K
svchost.exe                   1628 Services                   0     14,056 K
spoolsv.exe                   1752 Services                   0      6,988 K
svchost.exe                   1788 Services                   0     27,156 K
svchost.exe                   1912 Services                   0     15,364 K
BtwRSupportService.exe        1928 Services                   0      1,536 K
IntelCpHeciSvc.exe            1936 Services                   0      2,116 K
svchost.exe                   1980 Services                   0      6,440 K
svchost.exe                   1824 Services                   0      2,516 K
svchost.exe                   2100 Services                   0     10,320 K
SynTPEnhService.exe           2112 Services                   0      2,552 K
WmiPrvSE.exe                  4296 Services                   0     13,188 K
PresentationFontCache.exe     1016 Services                   0      3,128 K
SearchIndexer.exe             6052 Services                   0     47,796 K
GoogleCrashHandler.exe        6924 Services                   0      1,140 K
GoogleCrashHandler64.exe      7040 Services                   0        272 K
MsMpEng.exe                  11496 Services                   0    255,328 K
NisSrv.exe                    8460 Services                   0     11,544 K
WUDFHost.exe                  1616 Services                   0      1,712 K
csrss.exe                     7464 Console                    5     68,272 K
winlogon.exe                  7256 Console                    5      7,580 K
dwm.exe                        208 Console                    5     82,168 K
LPlatSvc.exe                  8452 Console                    5      5,812 K
SynTPEnh.exe                  8480 Console                    5     18,768 K
taskhostw.exe                 8856 Console                    5     17,620 K
sihost.exe                    5556 Console                    5     26,556 K
ChsIME.exe                   11744 Console                    5      6,892 K
igfxEM.exe                    8448 Console                    5     14,064 K
igfxHK.exe                    6544 Console                    5     10,412 K
igfxTray.exe                  5404 Console                    5     15,172 K
SynTPLpr.exe                  9600 Console                    5      5,808 K
SynLenovoHelper.exe           1276 Console                    5      7,272 K
SynTPHelper.exe                712 Console                    5      3,512 K
explorer.exe                  6020 Console                    5    205,828 K
ShellExperienceHost.exe      10804 Console                    5     91,488 K
SearchUI.exe                  4768 Console                    5     86,280 K
wpscloudsvr.exe               4156 Console                    5     13,560 K
RuntimeBroker.exe             8708 Console                    5     35,468 K
SogouImeBroker.exe            7028 Console                    5     19,136 K
InstallAgent.exe              6964 Console                    5     12,452 K
wpscenter.exe                10672 Console                    5     56,260 K
RAVCpl64.exe                  2592 Console                    5     12,396 K
RAVBg64.exe                   8100 Console                    5     12,352 K
RAVBg64.exe                   9204 Console                    5     12,372 K
WeChat.exe                    7188 Console                    5    150,016 K
DingTalk.exe                  7408 Console                    5    110,596 K
YunDetectService.exe          3288 Console                    5     10,060 K
YoudaoNote.exe                4560 Console                    5    102,224 K
jusched.exe                  10400 Console                    5      6,144 K
YNoteCefRender.exe            8108 Console                    5     32,328 K
YNoteCefRender.exe            6756 Console                    5    100,312 K
WeChatWeb.exe                 4552 Console                    5     36,996 K
fontdrvhost.exe               2108 Console                    5      2,708 K
DocToPDF.exe                  9392 Console                    5     22,276 K
DingTalkHelper.exe            9396 Console                    5    114,548 K
SogouCloud.exe                6264 Console                    5     82,028 K
ChsIME.exe                   10600 Console                    5     13,032 K
studio64.exe                  8008 Console                    5  1,164,244 K
svchost.exe                   8540 Console                    5     11,244 K
fsnotifier64.exe              2580 Console                    5      3,920 K
conhost.exe                   4280 Console                    5      7,332 K
firefox.exe                   6512 Console                    5    437,180 K
firefox.exe                   9412 Console                    5     49,180 K
firefox.exe                  11756 Console                    5    108,476 K
ApplicationFrameHost.exe      5772 Console                    5     40,848 K
openvpn-gui-1.0.3.exe         3068 Console                    5     10,396 K
openvpn.exe                  10404 Console                    5      7,580 K
conhost.exe                   6424 Console                    5      7,328 K
firefox.exe                  11432 Console                    5    597,188 K
firefox.exe                   9924 Console                    5    135,788 K
pycharm64.exe                12128 Console                    5    822,468 K
fsnotifier64.exe              3256 Console                    5      3,836 K
conhost.exe                  11568 Console                    5      7,180 K
QQProtect.exe                 3124 Services                   0     19,560 K
Calculator.exe                 996 Console                    5     30,944 K
adb.exe                      11604 Console                    5      7,780 K
MpCmdRun.exe                 11912 Services                   0     10,340 K
audiodg.exe                   5956 Services                   0     21,428 K
FMAPP.exe                     2908 Console                    5      7,864 K
WeChatWeb.exe                11596 Console                    5     50,592 K
SearchProtocolHost.exe        8688 Services                   0      9,144 K
XMP.exe                       6912 Console                    5    160,564 K
QQMusic.exe                   9832 Console                    5    286,180 K
QQMusicExternal.exe           5704 Console                    5     13,652 K
qbclient.exe                  5152 Console                    5    247,360 K
firefox.exe                   8904 Console                    5    192,336 K
firefox.exe                   2584 Console                    5     48,008 K
dllhost.exe                   3744 Console                    5     13,032 K
explorer.exe                  3504 Console                    5     78,088 K
cmd.exe                       6516 Console                    5      2,708 K
conhost.exe                    760 Console                    5     43,064 K
taskeng.exe                  11004 Services                   0      6,156 K
GoogleUpdate.exe              8736 Services                   0      9,748 K
python.exe                    5236 Console                    5      8,720 K
cmd.exe                       3584 Console                    5      2,712 K
tasklist.exe                  2976 Console                    5      7,328 K
